# ANSI / SQL:2016 keyword inventory and reservation classes.
#
# @generated-source: provenance data for the keyword codegen (ADR-0004, ADR-0015).
# DO derive the Rust tables from this file via `cargo run -p squonk-sourcegen`;
# do NOT hand-edit the generated `dialect/keyword/generated.rs`.
#
# Source: ISO/IEC 9075-2:2016 (SQL:2016 Part 2, Foundation), the "Reserved words"
# and "Non-reserved keywords" tables, as transcribed verbatim in the PostgreSQL
# documentation source (PostgreSQL License):
#   doc/src/sgml/keywords/sql2016-02-reserved.txt
#   doc/src/sgml/keywords/sql2016-02-nonreserved.txt
# This is the objective ANSI inventory ADR-0011 anchors "generic"/ANSI on. The
# `reserved` rows are the SQL:2016 reserved words (rejected as identifiers); the
# `non_reserved` rows are recognized keywords still usable as identifiers.
#
# `end-exec` (the one hyphenated reserved word) is omitted: it is not a lexable
# single word for our tokenizer.
#
# Format: one `keyword,class` per line, sorted, lower case.
keyword,class
a,non_reserved
abs,reserved
absent,reserved
absolute,non_reserved
acos,reserved
action,non_reserved
ada,non_reserved
add,non_reserved
admin,non_reserved
after,non_reserved
all,reserved
allocate,reserved
alter,reserved
always,non_reserved
and,reserved
any,reserved
are,reserved
array,reserved
array_agg,reserved
array_max_cardinality,reserved
as,reserved
asc,non_reserved
asensitive,reserved
asin,reserved
assertion,non_reserved
assignment,non_reserved
asymmetric,reserved
at,reserved
atan,reserved
atomic,reserved
attribute,non_reserved
attributes,non_reserved
authorization,reserved
avg,reserved
before,non_reserved
begin,reserved
begin_frame,reserved
begin_partition,reserved
bernoulli,non_reserved
between,reserved
bigint,reserved
binary,reserved
blob,reserved
boolean,reserved
both,reserved
breadth,non_reserved
by,reserved
c,non_reserved
call,reserved
called,reserved
cardinality,reserved
cascade,non_reserved
cascaded,reserved
case,reserved
cast,reserved
catalog,non_reserved
catalog_name,non_reserved
ceil,reserved
ceiling,reserved
chain,non_reserved
chaining,non_reserved
char,reserved
char_length,reserved
character,reserved
character_length,reserved
character_set_catalog,non_reserved
character_set_name,non_reserved
character_set_schema,non_reserved
characteristics,non_reserved
characters,non_reserved
check,reserved
class_origin,non_reserved
classifier,reserved
clob,reserved
close,reserved
coalesce,reserved
cobol,non_reserved
collate,reserved
collation,non_reserved
collation_catalog,non_reserved
collation_name,non_reserved
collation_schema,non_reserved
collect,reserved
column,reserved
column_name,non_reserved
columns,non_reserved
command_function,non_reserved
command_function_code,non_reserved
commit,reserved
committed,non_reserved
condition,reserved
condition_number,non_reserved
conditional,non_reserved
connect,reserved
connection,non_reserved
connection_name,non_reserved
constraint,reserved
constraint_catalog,non_reserved
constraint_name,non_reserved
constraint_schema,non_reserved
constraints,non_reserved
constructor,non_reserved
contains,reserved
continue,non_reserved
convert,reserved
copy,reserved
corr,reserved
corresponding,reserved
cos,reserved
cosh,reserved
count,reserved
covar_pop,reserved
covar_samp,reserved
create,reserved
cross,reserved
cube,reserved
cume_dist,reserved
current,reserved
current_catalog,reserved
current_date,reserved
current_default_transform_group,reserved
current_path,reserved
current_role,reserved
current_row,reserved
current_schema,reserved
current_time,reserved
current_timestamp,reserved
current_transform_group_for_type,reserved
current_user,reserved
cursor,reserved
cursor_name,non_reserved
cycle,reserved
data,non_reserved
date,reserved
datetime_interval_code,non_reserved
datetime_interval_precision,non_reserved
day,reserved
deallocate,reserved
dec,reserved
decfloat,reserved
decimal,reserved
declare,reserved
default,reserved
defaults,non_reserved
deferrable,non_reserved
deferred,non_reserved
define,reserved
defined,non_reserved
definer,non_reserved
degree,non_reserved
delete,reserved
dense_rank,reserved
depth,non_reserved
deref,reserved
derived,non_reserved
desc,non_reserved
describe,reserved
descriptor,non_reserved
deterministic,reserved
diagnostics,non_reserved
disconnect,reserved
dispatch,non_reserved
distinct,reserved
domain,non_reserved
double,reserved
drop,reserved
dynamic,reserved
dynamic_function,non_reserved
dynamic_function_code,non_reserved
each,reserved
element,reserved
else,reserved
empty,reserved
encoding,non_reserved
end,reserved
end_frame,reserved
end_partition,reserved
enforced,non_reserved
equals,reserved
error,non_reserved
escape,reserved
every,reserved
except,reserved
exclude,non_reserved
excluding,non_reserved
exec,reserved
execute,reserved
exists,reserved
exp,reserved
expression,non_reserved
external,reserved
extract,reserved
false,reserved
fetch,reserved
filter,reserved
final,non_reserved
finish,non_reserved
first,non_reserved
first_value,reserved
flag,non_reserved
float,reserved
floor,reserved
following,non_reserved
for,reserved
foreign,reserved
format,non_reserved
fortran,non_reserved
found,non_reserved
frame_row,reserved
free,reserved
from,reserved
fulfill,non_reserved
full,reserved
function,reserved
fusion,reserved
g,non_reserved
general,non_reserved
generated,non_reserved
get,reserved
global,reserved
go,non_reserved
goto,non_reserved
grant,reserved
granted,non_reserved
group,reserved
grouping,reserved
groups,reserved
having,reserved
hierarchy,non_reserved
hold,reserved
hour,reserved
identity,reserved
ignore,non_reserved
immediate,non_reserved
immediately,non_reserved
implementation,non_reserved
in,reserved
including,non_reserved
increment,non_reserved
indicator,reserved
initial,reserved
initially,non_reserved
inner,reserved
inout,reserved
input,non_reserved
insensitive,reserved
insert,reserved
instance,non_reserved
instantiable,non_reserved
instead,non_reserved
int,reserved
integer,reserved
intersect,reserved
intersection,reserved
interval,reserved
into,reserved
invoker,non_reserved
is,reserved
isolation,non_reserved
join,reserved
json_array,reserved
json_arrayagg,reserved
json_exists,reserved
json_object,reserved
json_objectagg,reserved
json_query,reserved
json_table,reserved
json_table_primitive,reserved
json_value,reserved
k,non_reserved
keep,non_reserved
key,non_reserved
key_member,non_reserved
key_type,non_reserved
keys,non_reserved
lag,reserved
language,reserved
large,reserved
last,non_reserved
last_value,reserved
lateral,reserved
lead,reserved
leading,reserved
left,reserved
length,non_reserved
level,non_reserved
like,reserved
like_regex,reserved
listagg,reserved
ln,reserved
local,reserved
localtime,reserved
localtimestamp,reserved
locator,non_reserved
log,reserved
log10,reserved
lower,reserved
m,non_reserved
map,non_reserved
match,reserved
match_number,reserved
match_recognize,reserved
matched,non_reserved
matches,reserved
max,reserved
maxvalue,non_reserved
measures,non_reserved
member,reserved
merge,reserved
message_length,non_reserved
message_octet_length,non_reserved
message_text,non_reserved
method,reserved
min,reserved
minute,reserved
minvalue,non_reserved
mod,reserved
modifies,reserved
module,reserved
month,reserved
more,non_reserved
multiset,reserved
mumps,non_reserved
name,non_reserved
names,non_reserved
national,reserved
natural,reserved
nchar,reserved
nclob,reserved
nested,non_reserved
nesting,non_reserved
new,reserved
next,non_reserved
nfc,non_reserved
nfd,non_reserved
nfkc,non_reserved
nfkd,non_reserved
no,reserved
none,reserved
normalize,reserved
normalized,non_reserved
not,reserved
nth_value,reserved
ntile,reserved
null,reserved
null_ordering,non_reserved
nullable,non_reserved
nullif,reserved
nulls,non_reserved
number,non_reserved
numeric,reserved
object,non_reserved
occurrence,non_reserved
occurrences_regex,reserved
octet_length,reserved
octets,non_reserved
of,reserved
offset,reserved
old,reserved
omit,reserved
on,reserved
one,reserved
only,reserved
open,reserved
option,non_reserved
options,non_reserved
or,reserved
order,reserved
ordering,non_reserved
ordinality,non_reserved
others,non_reserved
out,reserved
outer,reserved
output,non_reserved
over,reserved
overflow,non_reserved
overlaps,reserved
overlay,reserved
overriding,non_reserved
p,non_reserved
pad,non_reserved
parameter,reserved
parameter_mode,non_reserved
parameter_name,non_reserved
parameter_ordinal_position,non_reserved
parameter_specific_catalog,non_reserved
parameter_specific_name,non_reserved
parameter_specific_schema,non_reserved
partial,non_reserved
partition,reserved
pascal,non_reserved
pass,non_reserved
passing,non_reserved
past,non_reserved
path,non_reserved
pattern,reserved
per,reserved
percent,reserved
percent_rank,reserved
percentile_cont,reserved
percentile_disc,reserved
period,reserved
permute,non_reserved
pipe,non_reserved
placing,non_reserved
plan,non_reserved
pli,non_reserved
portion,reserved
position,reserved
position_regex,reserved
power,reserved
precedes,reserved
preceding,non_reserved
precision,reserved
prepare,reserved
preserve,non_reserved
prev,non_reserved
primary,reserved
prior,non_reserved
private,non_reserved
privileges,non_reserved
procedure,reserved
prune,non_reserved
ptf,reserved
public,non_reserved
quotes,non_reserved
range,reserved
rank,reserved
read,non_reserved
reads,reserved
real,reserved
recursive,reserved
ref,reserved
references,reserved
referencing,reserved
regr_avgx,reserved
regr_avgy,reserved
regr_count,reserved
regr_intercept,reserved
regr_r2,reserved
regr_slope,reserved
regr_sxx,reserved
regr_sxy,reserved
regr_syy,reserved
relative,non_reserved
release,reserved
repeatable,non_reserved
respect,non_reserved
restart,non_reserved
restrict,non_reserved
result,reserved
return,reserved
returned_cardinality,non_reserved
returned_length,non_reserved
returned_octet_length,non_reserved
returned_sqlstate,non_reserved
returning,non_reserved
returns,reserved
revoke,reserved
right,reserved
role,non_reserved
rollback,reserved
rollup,reserved
routine,non_reserved
routine_catalog,non_reserved
routine_name,non_reserved
routine_schema,non_reserved
