# PostgreSQL keyword inventory and reservation classes.
#
# @generated-source: provenance data for the keyword codegen (ADR-0004, ADR-0015).
# DO derive the Rust tables from this file via `cargo run -p squonk-sourcegen`;
# do NOT hand-edit the generated `dialect/keyword/generated.rs`.
#
# Source: PostgreSQL 17 src/include/parser/kwlist.h (PostgreSQL License), the
# objective list every PostgreSQL release ships. Each PG_KEYWORD row tags a
# keyword with one of four reservation classes:
#   unreserved      - usable as any identifier (ColId, ColLabel, func/type name)
#   col_name        - usable as a column/identifier, restricted as a function/type name
#   type_func_name  - usable as a function/type name, restricted as a bare ColId
#   reserved        - never a plain identifier
# The per-position identifier gates (prod-keyword-position-reserved-sets) consume
# these classes directly: a ColId rejects `type_func_name ∪ reserved`, a type name
# rejects `col_name ∪ reserved`, a function name rejects only `reserved`, and a bare
# label rejects the AS_LABEL set (see postgres_as_label.csv).
#
# `end-exec` is intentionally omitted: it is not a lexable single word.
#
# Format: one `keyword,class` per line, sorted, lower case.
keyword,class
abort,unreserved
absent,unreserved
absolute,unreserved
access,unreserved
action,unreserved
add,unreserved
admin,unreserved
after,unreserved
aggregate,unreserved
all,reserved
also,unreserved
alter,unreserved
always,unreserved
analyse,reserved
analyze,reserved
and,reserved
any,reserved
array,reserved
as,reserved
asc,reserved
asensitive,unreserved
assertion,unreserved
assignment,unreserved
asymmetric,reserved
at,unreserved
atomic,unreserved
attach,unreserved
attribute,unreserved
authorization,type_func_name
backward,unreserved
before,unreserved
begin,unreserved
between,col_name
bigint,col_name
binary,type_func_name
bit,col_name
boolean,col_name
both,reserved
breadth,unreserved
by,unreserved
cache,unreserved
call,unreserved
called,unreserved
cascade,unreserved
cascaded,unreserved
case,reserved
cast,reserved
catalog,unreserved
chain,unreserved
char,col_name
character,col_name
characteristics,unreserved
check,reserved
checkpoint,unreserved
class,unreserved
close,unreserved
cluster,unreserved
coalesce,col_name
collate,reserved
collation,type_func_name
column,reserved
columns,unreserved
comment,unreserved
comments,unreserved
commit,unreserved
committed,unreserved
compression,unreserved
concurrently,type_func_name
conditional,unreserved
configuration,unreserved
conflict,unreserved
connection,unreserved
constraint,reserved
constraints,unreserved
content,unreserved
continue,unreserved
conversion,unreserved
copy,unreserved
cost,unreserved
create,reserved
cross,type_func_name
csv,unreserved
cube,unreserved
current,unreserved
current_catalog,reserved
current_date,reserved
current_role,reserved
current_schema,type_func_name
current_time,reserved
current_timestamp,reserved
current_user,reserved
cursor,unreserved
cycle,unreserved
data,unreserved
database,unreserved
day,unreserved
deallocate,unreserved
dec,col_name
decimal,col_name
declare,unreserved
default,reserved
defaults,unreserved
deferrable,reserved
deferred,unreserved
definer,unreserved
delete,unreserved
delimiter,unreserved
delimiters,unreserved
depends,unreserved
depth,unreserved
desc,reserved
destination,unreserved
detach,unreserved
dictionary,unreserved
disable,unreserved
discard,unreserved
distinct,reserved
do,reserved
document,unreserved
domain,unreserved
double,unreserved
drop,unreserved
each,unreserved
edge,unreserved
else,reserved
empty,unreserved
enable,unreserved
encoding,unreserved
encrypted,unreserved
end,reserved
enforced,unreserved
enum,unreserved
error,unreserved
escape,unreserved
event,unreserved
except,reserved
exclude,unreserved
excluding,unreserved
exclusive,unreserved
execute,unreserved
exists,col_name
explain,unreserved
expression,unreserved
extension,unreserved
external,unreserved
extract,col_name
false,reserved
family,unreserved
fetch,reserved
filter,unreserved
finalize,unreserved
first,unreserved
float,col_name
